position,person,personID,start,end
President,Étienne Gnassingbé Eyadéma,Q155385,1967-04-14,2005-02-05
President,Faure Essozimna Gnassingbé Eyadéma,Q4414,2005-05-04,
Prime Minister,Eugene Koffi Adoboli,Q1373139,1999-05-21,2000-08-31
Prime Minister,Agbéyomé Kodjo,Q392055,2000-08-31,2002-06-29
Prime Minister,Koffi Sama,Q1778373,2002-06-29,2005-06-09
Prime Minister,Edem Kodjo,Q961159,2005-06-09,2006-09-20
Prime Minister,Yawovi Agboyibo,Q747770,2006-09-16,2007-12-06
Prime Minister,Komlan Mally,Q269076,2007-12-06,2008-09-08
Prime Minister,Gilbert Houngbo,Q57878,2008-09-08,2012-07-23
Prime Minister,Kwesi Ahoomey-Zunu,Q57850,2012-07-23,2015-06-10
Prime Minister,Komi Klassou,Q6428317,2015-06-10,
Prime Minister,Victoire Dogbé Tomegah,Q16682496,2020-09-28,
Minister of Finance,Sani Yaya,Q88219141,2016-08-01,
Minister of Foreign Affairs,Joseph Kokou Koffigoh,Q1707420,1998,2000
Minister of Foreign Affairs,Koffi Panou,Q6425687,2000,2002
Minister of Foreign Affairs,Roland Kpotsra,Q2162878,2002,2003
Minister of Foreign Affairs,Kokou Tozoun,Q6426847,2003,2005
Minister of Foreign Affairs,Zarifou Ayéva,Q3574865,2005,2007
Minister of Foreign Affairs,Léopold Gnininvi,Q1667617,2007,2008-09-15
Minister of Foreign Affairs,Kofi Esaw,Q1778364,2008-09-15,2010
Minister of Foreign Affairs,Elliott Ohin,Q99293088,2010,2013-09-17
Minister of Foreign Affairs,Robert Dussey,Q27756289,2013-09-17,
Minister of Infrastructure and Transport,Zouréhatou Kassah-Traoré,Q110251228,2019-01-05,
Minister of Justice,Tchitchao Tchalim,Q73364538,2011,2014
Minister of Justice,Pius Agbetomey,Q85793465,2015-06-28,
